temple_name,photo_1_url,photo_2_url,photo_3_url,photo_4_url
"Amaralingeswara Swamy Temple","https://upload.wikimedia.org/wikipedia/commons/f/fe/Ratha_Yatra_at_Sri_Amaralingeswara_Swamy_temple_01.jpg","https://upload.wikimedia.org/wikipedia/commons/b/b1/Sri_Amaralingeswara_Swamy_temple_%26_Chariot_%28vertical%29.jpg","https://upload.wikimedia.org/wikipedia/commons/1/1f/Crowd_Visiting_stalls_along_the_Amaralingeswara_temple_road.jpg","https://upload.wikimedia.org/wikipedia/commons/5/55/Sri_Amaralingeswara_Swamy_temple_%26_Chariot.jpg"
"Sri Satyanarayana Swamy Temple","https://upload.wikimedia.org/wikipedia/commons/4/44/Rangapuram_Temple_9.JPG","https://upload.wikimedia.org/wikipedia/commons/b/bd/Rangapuram_Temple_8.JPG","https://upload.wikimedia.org/wikipedia/commons/9/94/Rangapuram_Temple_11.JPG","https://upload.wikimedia.org/wikipedia/commons/6/68/Rangapuram_Temple_10.JPG"
"Kanaka Durga Temple","https://upload.wikimedia.org/wikipedia/commons/4/41/Om_Symbol_at_Kanaka_Durga_Temple.jpg","https://upload.wikimedia.org/wikipedia/commons/d/d4/View_of_Kanaka_Durga_Temple_on_Indrakeeladri.jpg","https://upload.wikimedia.org/wikipedia/commons/d/d7/View_of_Kanaka_Durga_Temple_Basement.jpg","https://upload.wikimedia.org/wikipedia/commons/0/05/Bezawada_Kanaka_Durga_temple.jpg"
"Penchalakona Lakshmi Narasimha Swamy Temple",null,null,null,null
"Sri Malyadri Lakshmi Narasimha Swamy Temple",null,null,null,null
"Sri Panakala Narasimha Swamy Temple",null,null,null,null
"Sri Varasiddhi Vinayaka Swamy Temple","https://upload.wikimedia.org/wikipedia/commons/1/1b/Swayambu_Sri_Varasiddhi_Vinayaka_Swamy_temple_at_Kanipakkam.jpg",null,null,null
"Sri Varaha Lakshmi Narasimha Swamy Temple","https://upload.wikimedia.org/wikipedia/commons/9/97/Lakshmi_Narasimha_Swamy_temple%2C_Dharmapuri_Telangana_-_5.jpg","https://upload.wikimedia.org/wikipedia/commons/d/d7/Sri_Narasimha_Swamy_and_Vimana_Narasimha_Swamy.jpg","https://upload.wikimedia.org/wikipedia/commons/5/5a/Simhachalam_inner_temple_architecture.jpg",null
"Srikalahasti Temple","https://upload.wikimedia.org/wikipedia/commons/5/56/Srikalahasti_temple_and_Hill.jpg","https://upload.wikimedia.org/wikipedia/commons/1/1e/View_of_Srikalahasti_temple.jpg","https://upload.wikimedia.org/wikipedia/commons/a/a1/Srikalahasti_temple_and_Ghat.jpg","https://upload.wikimedia.org/wikipedia/commons/7/75/Srikalahasti_temple.jpg"
"Tirumala Venkateswara Temple","https://upload.wikimedia.org/wikipedia/commons/d/d9/Tirumala_Venkateswara_temple_entrance_09062015.JPG","https://upload.wikimedia.org/wikipedia/commons/4/4e/Tirumala_090615.jpg","https://upload.wikimedia.org/wikipedia/commons/2/2a/A_View_of_Tirumala_Venkateswara_Temple.JPG","https://upload.wikimedia.org/wikipedia/commons/e/e4/Tirumala_Venkateswara_Temple%2C_Tirupati_%2824338261275%29.jpg"
"Vontimitta Ram Mandir",null,null,null,null
"Mallikarjuna Swamy Temple","https://upload.wikimedia.org/wikipedia/commons/e/eb/Mallanna_Swamy_temple%2C_Komuravelli_Telangana_-_04.jpg","https://upload.wikimedia.org/wikipedia/commons/2/2d/Mallanna_Swamy_temple%2C_Komuravelli_Telangana_-_10.jpg","https://upload.wikimedia.org/wikipedia/commons/c/c0/Mallanna_Swamy_temple%2C_Komuravelli_Telangana_-_8.jpg","https://upload.wikimedia.org/wikipedia/commons/8/81/Mallanna_Swamy_temple%2C_Komuravelli_Telangana_-_9.jpg"
"Ahobilam Temple Complex","https://upload.wikimedia.org/wikipedia/commons/6/67/14th_century_Ahobila_Narasimha_Swamy_temple%2C_Upper_Ahobilam%2C_Andhra_Pradesh_India_-_5.jpg","https://upload.wikimedia.org/wikipedia/commons/4/44/16th_century_Lakshmi_Narasimha_Swamy_temple%2C_Lower_Ahobilam%2C_Andhra_Pradesh_India_-_11.jpg","https://upload.wikimedia.org/wikipedia/commons/9/92/16th_century_Lakshmi_Narasimha_Swamy_temple%2C_Lower_Ahobilam%2C_Andhra_Pradesh_India_-_53.jpg","https://upload.wikimedia.org/wikipedia/commons/2/2e/14th_century_Ahobila_Narasimha_Swamy_temple%2C_Upper_Ahobilam%2C_Andhra_Pradesh_India_-_01.jpg"
"Lepakshi Veerabhadra Temple","https://upload.wikimedia.org/wikipedia/commons/b/bd/Veerabhadra_Temple_Tower.JPG","https://upload.wikimedia.org/wikipedia/commons/5/53/LPK23_Lepakshi_-_Veerabhadra_Temple_Info_Board.jpg","https://upload.wikimedia.org/wikipedia/commons/a/ad/Sculpture_at_the_Veerabhadra_Temple%2C_Lepakshi%2C_Andhra_Pradesh%2C_India_%282015%29.jpg","https://upload.wikimedia.org/wikipedia/commons/f/f2/LPK23_Lepakshi_Veerabhadra_temple_Gopuram_-_Black_kite.jpg"
"Arasavalli Sun Temple","https://upload.wikimedia.org/wikipedia/commons/9/96/Inscriptions_at_Sun_Temple_in_Arasavalli_01.jpg","https://upload.wikimedia.org/wikipedia/commons/a/a2/Inscriptions_at_Sun_Temple_in_Arasavalli_02.jpg","https://upload.wikimedia.org/wikipedia/commons/a/ab/Inscriptions_at_Sun_Temple_in_Arasavalli_03.jpg","https://upload.wikimedia.org/wikipedia/commons/0/0d/Arasavilli_Sri_Suryanarayanamurty_Temple_of_Srikakulam%2C_Andhra_Pradesh_%283%29.jpg"
"Yaganti Uma Maheswara Temple","https://upload.wikimedia.org/wikipedia/commons/f/f6/Yaganti_Gopuram.JPG","https://upload.wikimedia.org/wikipedia/commons/e/e2/Yaganti_Temple_premise.jpg","https://upload.wikimedia.org/wikipedia/commons/d/d7/Agastya_Pushkarini_at_Uma_Maheswara_Temple_Yaganti_Andhra_Pradesh.jpg","https://upload.wikimedia.org/wikipedia/commons/8/89/Yaganti_Temple_Sthamba.jpg"
"Draksharamam Temple","https://upload.wikimedia.org/wikipedia/commons/7/7a/Draksharama_temple%2C_Draksharamam.jpg","https://upload.wikimedia.org/wikipedia/commons/9/97/Draksharamam_temple.jpg","https://upload.wikimedia.org/wikipedia/commons/8/8c/Pond_near_the_temple_at_Draksharamam_05.JPG","https://upload.wikimedia.org/wikipedia/commons/9/9d/Pond_near_the_temple_at_Draksharamam_04.JPG"
"Kamakhya Temple","https://upload.wikimedia.org/wikipedia/commons/d/dc/Kamakhya_Temple%2C_Guwahati.jpg","https://upload.wikimedia.org/wikipedia/commons/d/d0/Kamakhya_Temple%2C_Nilanchal_pahad.jpg","https://upload.wikimedia.org/wikipedia/commons/4/46/Kamakhya_Temple_on_the_Ambubachi_Mela%2C_2023.jpg","https://upload.wikimedia.org/wikipedia/commons/a/ae/Maa_Kamakhya_Temple_2.jpg"
"Umananda Temple","https://upload.wikimedia.org/wikipedia/commons/2/2a/Umananda_Mandir.jpg","https://upload.wikimedia.org/wikipedia/commons/f/f1/Umananda_Temple_in_Peacock_Island%2C_Guwahati_06.jpg","https://upload.wikimedia.org/wikipedia/commons/4/4f/Umananda_Temple_in_Peacock_Island%2C_Guwahati_07.jpg","https://upload.wikimedia.org/wikipedia/commons/0/07/Umananda_Temple_in_Peacock_Island%2C_Guwahati_02.jpg"
